name,lat,lon
Westgate-IMM Shuttle,1.3362084,103.7470105
After The Japanese Association,1.3296096,103.814895
After Adam Drive,1.3352864,103.8182988
Singapore Bible Coll,1.3255146,103.8135176
Opposite Singapore Bible Coll,1.3254458,103.8140091
Opposite The Japanese Association,1.3298257,103.8145999
Between Blks 357/359,1.450176,103.816145
After Riverside Road,1.4461063,103.7772736
Marsiling Community Club,1.4409803,103.772643
Opposite Marsiling Lane Market/Food Centre,1.4438121,103.776448
After Woodlands Waterfront Park,1.450529,103.7787961
Marsiling Lane Market/Food Centre,1.4437309,103.7767858
Blk 23,1.4413346,103.7737581
Before Woodlands Waterfront Park,1.4506978,103.778557
After Marsiling Lane,1.4461873,103.7770247
After Pakistan Road,1.4552032,103.8306286
After Queen'S Avenue,1.4553401,103.830998
Opposite Sembawang Drug Rehabilitationb Centre,1.4590769,103.826084
Opposite Sunshine Bakery,1.4638099,103.8136298
Woodlands Sunny Food,1.4623377,103.8089868
Sembawang Camp,1.4633715,103.8165232
Sumitomo Bakelite Singapore,1.4604759,103.8061529
Opposite Woodlands Sunny Food,1.4625919,103.8101329
Opposite Khalsa Crescent Drug Rehabilitationb Centre,1.4509408,103.782562
After View Road,1.4515392,103.7890594
Before Woodlands Industrial Park E4,1.4539465,103.7955691
Sunshine Bakery,1.4640915,103.8129098
North Tech,1.4558343,103.7986174
Opposite British American Tobacco,1.4582932,103.8034109
After Woodlands Industrial Park E4,1.4545018,103.7955954
After Attap Valley Road,1.4560235,103.7980196
Before British American Tobacco,1.4577142,103.8019181
Khalsa Crescent Drug Rehabilitationb Centre,1.4511385,103.7832683
Before Keramat Road,1.4517607,103.7881397
Woodlands Auto Hub,1.4524371,103.7926186
Sembawang Drug Rehabilitationb Centre,1.4596363,103.8262657
Opposite Sembawang Corporation Industries,1.4585085,103.8235369
Sembawang Corporation Industries,1.4588731,103.8238255
Opposite Sumitomo Bakelite Singapore,1.4607995,103.8059325
After HomeTeamNS Sembawang Resort,1.4597205,103.8209522
Before Sembawang Shipyard G 3,1.4605323,103.8203771
Opposite Sembawang Shipyard G 8,1.4618936,103.8179029
