name,lat,lon
Aljunied,1.3164515,103.8829087
Kallang,1.3114669,103.8713388
Yio Chu Kang,1.3817905,103.8449359
Bedok,1.3239666,103.9302175
Changi Airport,1.3571111,103.9884662
Redhill,1.2896482,103.8167677
Queenstown,1.2946226,103.8060366
Commonwealth,1.3024428,103.7983085
Dover,1.3114155,103.7786108
Jurong East,1.333108,103.7422939
Chinese Garden,1.3424141,103.7325474
Lakeside,1.34425,103.7206931
Farrer Park,1.3124938,103.8541701
Outram Park,1.2799831,103.8396634
Clarke Quay,1.2887582,103.8466978
Ranggung,1.3840465,103.8973612
Boon Lay,1.3385504,103.7058124
Pioneer,1.3375884,103.6974103
Joo Koon,1.327735,103.6782221
Stadium,1.3028989,103.8754768
Esplanade,1.2933814,103.8555099
Nicoll Highway,1.2997426,103.8636976
Mountbatten,1.3062268,103.8825098
Tai Seng,1.3354751,103.8882938
Telok Blangah,1.2704685,103.8098475
Labrador Park,1.2723178,103.802786
Haw Par Villa,1.2825883,103.7816833
Kent Ridge,1.2935851,103.7843245
one-north,1.2996315,103.7872494
Cheng Lim,1.3962917,103.8937904
Farmway,1.3971948,103.8892243
Fernvale,1.3919037,103.8762794
Kupang,1.3982038,103.881246
Thanggam,1.3973334,103.8756345
Layar,1.3920846,103.8800319
Tongkang,1.3894081,103.8858267
Renjong,1.3867294,103.8905331
Resorts World,1.2555418,103.8209626
Imbiah,1.2539153,103.8194525
Gul Circle,1.3196353,103.6606551
Tuas Crescent,1.3211582,103.6489064
Tuas West Road,1.3300518,103.6395694
Tuas Link,1.3402939,103.6367718
Kembangan,1.3210321,103.9129269
Johor Bahru Sentral,1.4629737,103.7646343
Simei,1.3431881,103.953371
Bukit Batok,1.3490572,103.7495906
Admiralty,1.4406369,103.8009592
Bangkit,1.3800412,103.7726501
Bukit Gombak,1.3588929,103.7518249
City Hall,1.2929822,103.8526831
Fajar,1.3845932,103.7708754
Jelapang,1.3866937,103.7645139
Keat Hong,1.3786034,103.7490207
Kranji,1.4252189,103.7619891
Lorong Chuan,1.3514787,103.8633774
Marsiling,1.4325704,103.7741243
Pending,1.3761841,103.7712587
Petir,1.3777652,103.7666291
Phoenix,1.3786164,103.758008
Segar,1.3877855,103.7695804
Sembawang,1.4490928,103.8200555
Senja,1.3826778,103.7623822
South View,1.3802716,103.7452826
Teck Whye,1.3766705,103.7536471
Yew Tee,1.3974608,103.7474009
Yishun,1.4293839,103.8350282
Bakau,1.3880083,103.905418
Compassvale,1.394518,103.9004349
Kangkar,1.3839286,103.9022055
Rumbia,1.3914749,103.9059729
Outram Park,1.2814433,103.8393848
Woodlands Train Checkpoint,1.4450308,103.769993
Bukit Panjang,1.3779175,103.7630947
Choa Chu Kang,1.3853167,103.744325
Marymount,1.3486712,103.8393592
Eunos,1.3198016,103.9028891
Sungei Bedok,1.3204088,103.957239
Xilin,1.3290797,103.9649927
Bencoolen,1.2989964,103.8503476
Khatib,1.4173597,103.8330179
Choa Chu Kang,1.3847493,103.7445341
Bukit Batok West,1.3455305,103.7397329
Tengah Plantation,1.3573609,103.733406
Tengah Park,1.3522936,103.7368054
Tawas,1.3506557,103.6918893
Gek Poh,1.3483266,103.6980778
Pandan Reservoir,1.320439,103.7448028
Peng Kang Hill,1.3428682,103.6785915
Nanyang Crescent,1.3485428,103.6811253
Nanyang Gateway,1.3537812,103.6866773
Jurong Town Hall,1.3264148,103.7452272
Toh Guan,1.3400465,103.7426012
Jurong Pier,1.313022,103.7104354
Jurong Hill,1.318581,103.7102098
Tukang,1.3253215,103.7092754
Enterprise,1.3328021,103.7085422
Jurong West,1.3491904,103.7082891
Corporation,1.3529781,103.7138109
Tengah,1.3662254,103.7300925
Hong Kah,1.3581119,103.7261096
Choa Chu Kang West,1.379215,103.7399997
Bahar Junction,1.3458098,103.7023562
Punggol Coast,1.4149493,103.9101429
B,1.358383,103.9873758
C,1.3619808,103.9889622
D,1.3610209,103.9918185
E,1.3570046,103.9900385
A South,1.350108,103.9838301
Buona Vista,1.3073598,103.789869
Buona Vista,1.3072035,103.7898537
Punggol,1.4052386,103.9023526
Punggol,1.4052773,103.9023073
Punggol,1.4050898,103.9025057
Sengkang,1.391465,103.8953222
Chinatown,1.2842318,103.8451046
Chinatown,1.2845137,103.8435244
Little India,1.3066673,103.8493702
Botanic Gardens,1.3225907,103.8162039
Beach,1.2512942,103.8177659
Kovan,1.3599863,103.8848589
Woodleigh,1.3392979,103.8706839
Boon Keng,1.31955,103.8617021
Potong Pasir,1.3313182,103.8690861
Ang Mo Kio,1.3700803,103.8495228
Outram Park,1.2812339,103.8392952
Outram Park,1.281343,103.8393621
Outram Park,1.2815774,103.8394678
HarbourFront,1.265362,103.8215518
Boon Keng,1.3194807,103.8618134
Farrer Park,1.3123955,103.8542697
Little India,1.3066004,103.849464
Clarke Quay,1.2887121,103.8468387
Chinatown,1.2844363,103.8436304
Outram Park,1.2798462,103.8397779
Sungei Kadut,1.4135235,103.7488684
Botanic Gardens,1.3224273,103.8161724
Bencoolen,1.2989214,103.8504308
Chinatown,1.2842932,103.8451547
City Hall,1.2929757,103.8527326
Punggol Coast,1.4148044,103.9101791
Kovan,1.3598863,103.8849573
Potong Pasir,1.3312993,103.8692459
Punggol,1.4051846,103.9024762
Sengkang,1.3914228,103.8954461
Woodleigh,1.3392889,103.8708344
Esplanade,1.2933383,103.855477
one-north,1.2994799,103.7873137
Labrador Park,1.2724828,103.802796
Telok Blangah,1.2706189,103.8098567
Haw Par Villa,1.282669,103.7818405
Kent Ridge,1.2935696,103.7844751
Marymount,1.3486539,103.8395059
Lorong Chuan,1.3514248,103.8633841
Tai Seng,1.3354555,103.8882396
Mountbatten,1.3062958,103.882457
Stadium,1.3029588,103.8754386
Nicoll Highway,1.2998015,103.8636609
VivoCity,1.265099,103.8223324
Xilin,1.3290461,103.9650807
Sungei Bedok,1.320348,103.9572624
Sungei Bedok,1.320552,103.9571837
Sungei Bedok,1.3204943,103.957206
Bukit Chagar,1.4662412,103.7621858
